requirement_id,source,requirement,checkpoint,status,owner,automated_verification,evidence_path,remaining_work
"PRD-01","Week_3_AgentForge.pdf Stage 1","Clinical Co-Pilot is testable locally and deployed","MVP","partial","External target; TargetAdapter","Public health probe; adapter contract tests","README.md; src/agentforge/target/openemr_adapter.py; docs/evidence/baseline/2026-07-22-final-integration.md","Deployed target is healthy; add evidence for the target's local testable state or document the approved deployed-only exception."
"PRD-02","Week_3_AgentForge.pdf Stage 1","Document changes required to make the target testable","MVP","partial","Target readiness","Preflight and session-lifecycle tests","README.md; docs/target/READINESS.md; tests/test_preflight.py; tests/test_openemr_adapter_chat.py; tests/test_campaign_session_lease.py","Measure the target issuer's absolute/idle session lifetime, exact expired-session response, cookie requirements, and transport ceilings during an explicitly authorized synthetic-only run."
"PRD-03","Week_3_AgentForge.pdf live-system hard gate","Submit the deployed target URL and run tests against the live system at every checkpoint","Every checkpoint","blocked","Campaign coordinator; human Operator and Approver","Public health probe; authorized-run preflight","README.md; src/agentforge/campaign/authorization.py; docs/evidence/baseline/2026-07-22-final-integration.md","A distinct human Approver must authorize one bounded staging campaign; then retain its authoritative trace and checkpoint evidence."
"PRD-04","Week_3_AgentForge.pdf Stage 2","Threat model covers all six mandated attack-surface categories","MVP","complete","Threat model","Manual structure audit","THREAT_MODEL.md","None; keep the living model synchronized with measured target behavior."
"PRD-05","Week_3_AgentForge.pdf Stage 2","Each threat category records surface, impact, exploit difficulty, and existing defenses","MVP","partial","Threat model; live campaign evidence","Threat-model structure review","THREAT_MODEL.md","Replace every to-be-probed defense hypothesis with measured deployed evidence or an explicit not-exercisable reason."
"PRD-06","Week_3_AgentForge.pdf Stage 2 hard gate","Threat model begins with an approximately 500-word findings and coverage-priority summary","MVP","complete","Threat model","Manual word-count and content review","THREAT_MODEL.md","None."
"PRD-07","Week_3_AgentForge.pdf Stage 3","Adversarial suite has results across at least three attack categories","MVP","partial","Eval corpus; Runner","Corpus validator; duplicate detector; runner tests","evals/seeds; evals/results/README.md; tests/evals; tests/test_runner_campaign.py","Persist authoritative deployed results for the security owner's exact frozen corpus; current checked-in cases do not prove a live campaign."
"PRD-08","Week_3_AgentForge.pdf Stage 3","Every attack case contains the required category, sequence, expectation, observation, severity, exploitability, and regression fields","MVP","complete","Eval schemas and validators","python -m agentforge.evals validate-corpus evals","src/agentforge/evals/schemas/attack-case.v1.json; evals/seeds; docs/evidence/baseline/2026-07-22-final-integration.md","None; continue schema validation locally and in authoritative GitHub CI."
"PRD-09","Week_3_AgentForge.pdf Stage 3 hard gate","Cases are structured, reproducible, extensible and at least one agent runs live against the deployed target","MVP","blocked","Red Team; Judge; Runner; human approval gate","Offline end-to-end and live-run preflight tests","docs/integration/INTEGRATION_PACKET.md; tests/test_offline_e2e.py; tests/test_runner_campaign.py","Obtain distinct-Approver authorization and execute the bounded live path without exposing the Runner-only session reference."
"PRD-10","Week_3_AgentForge.pdf Stage 4","Architecture defines each agent role, responsibilities, inputs, outputs, and coordination","Defense","complete","Architecture","Architecture/evidence audit","ARCHITECTURE.md; src/agentforge/agents/orchestrator; src/agentforge/agents/documentation","None; keep the architecture synchronized with the implemented agent contracts."
"PRD-11","Week_3_AgentForge.pdf Stage 4","Architecture covers communication, prioritization, regression, human gates, AI/deterministic split, cost, rate limits, and state infrastructure","Defense","complete","Architecture","Architecture/evidence audit","ARCHITECTURE.md; docs/adrs/0001-build-vs-configure.md","None; reconcile any implementation drift before Final."
"PRD-12","Week_3_AgentForge.pdf Stage 4 hard gate","Architecture begins with an approximately 500-word summary and includes an agent-interaction diagram","Defense","complete","Architecture and diagrams","Visual artifact review","ARCHITECTURE.md; docs/diagrams/D2-D4-agent-interaction-trust.svg; docs/diagrams/D2-D4-agent-interaction-trust.png","None; add a render-staleness gate before release."
"PRD-13","Week_3_AgentForge.pdf platform architecture","System is genuinely multi-agent with distinct responsibilities, contexts, and trust levels","Final","complete","Orchestrator; Red Team; Judge; Documentation; control plane","Import-boundary, agent, gateway, Judge, physical-lineage, and Runner integration tests","src/agentforge/agents; src/agentforge/policy; src/agentforge/providers/lineage.py; tests/test_orchestrator.py; tests/test_runner_campaign.py","None; retain the distinct provider parentage, trust split, and independent deterministic Judge authority."
